fnids_(15277, 40)
Best: 0.8859721853283176 using {'batch_size': 64, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.870066644673139 (0.012946295834265615) with: {'batch_size': 64, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.8750408951080111 (0.0037051124289767005) with: {'batch_size': 64, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
0.7182673241874535 (0.03288701181305363) with: {'batch_size': 64, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.7408523063212826 (0.029620257001940983) with: {'batch_size': 64, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.7340432601263057 (0.01568841770440586) with: {'batch_size': 64, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.7654650774200734 (0.006832319450159711) with: {'batch_size': 64, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.7601636018543114 (0.012218019634486434) with: {'batch_size': 64, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.7588538872845991 (0.008034525936758278) with: {'batch_size': 64, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.7788191617895305 (0.017084876016350756) with: {'batch_size': 64, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
0.7832684381453457 (0.015206760364882442) with: {'batch_size': 64, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.7840567133100831 (0.019925104283092847) with: {'batch_size': 64, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
0.8497726454786163 (0.012154299225413901) with: {'batch_size': 128, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.840543075894808 (0.017689138244355803) with: {'batch_size': 128, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.8417209149878749 (0.022280710632526016) with: {'batch_size': 128, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.824046751955853 (0.028167924449737747) with: {'batch_size': 128, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.8679719325455653 (0.013463730041217422) with: {'batch_size': 128, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.8677750404880848 (0.009308585817913205) with: {'batch_size': 128, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.771298382190384 (0.08003715495517909) with: {'batch_size': 128, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
0.8474822837850574 (0.02305817302964396) with: {'batch_size': 128, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.8469600303339302 (0.01958334667718258) with: {'batch_size': 128, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
0.8356999940017651 (0.008656449933645049) with: {'batch_size': 128, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.8398882614544864 (0.012737305708767117) with: {'batch_size': 128, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.8366172312148139 (0.005789994860277389) with: {'batch_size': 128, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.8745830369919709 (0.011187704400103003) with: {'batch_size': 128, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.8795587441410099 (0.00959586164957193) with: {'batch_size': 128, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.8791653456268584 (0.0063163121141798055) with: {'batch_size': 128, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.8364222028945768 (0.03433473425345555) with: {'batch_size': 128, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
0.8642420159210289 (0.015966465245191266) with: {'batch_size': 128, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.8612283527990335 (0.020135318499513038) with: {'batch_size': 128, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
0.7041340048500013 (0.02961495874944442) with: {'batch_size': 128, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.7216760567604391 (0.04845923712074242) with: {'batch_size': 128, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.6644593448213811 (0.03674771198480002) with: {'batch_size': 128, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.7589198250229219 (0.013012825208003153) with: {'batch_size': 128, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.7385614947601133 (0.007909878142882071) with: {'batch_size': 128, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.7512587081516011 (0.01535052404620444) with: {'batch_size': 128, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.7615367691793558 (0.005012792704305819) with: {'batch_size': 128, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
0.760424396534734 (0.013216904981886561) with: {'batch_size': 128, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.7712260820387142 (0.01287799478931347) with: {'batch_size': 128, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
0.8057215233802623 (0.011490456828474676) with: {'batch_size': 512, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.8024480510021336 (0.018081802000057556) with: {'batch_size': 512, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.7907314847344924 (0.01343742818900157) with: {'batch_size': 512, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.8027103452412575 (0.018221868543118018) with: {'batch_size': 512, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.8014022373415823 (0.020445337343892183) with: {'batch_size': 512, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.8089954670482686 (0.020265909898367476) with: {'batch_size': 512, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.8048702453278036 (0.029775883352075778) with: {'batch_size': 512, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
0.8424400604964823 (0.027030928217000535) with: {'batch_size': 512, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.8690858261711554 (0.013519234672056818) with: {'batch_size': 512, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
0.810630007454949 (0.006508784179849242) with: {'batch_size': 512, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.8089934961996897 (0.015703114679634637) with: {'batch_size': 512, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.8070287315447168 (0.015793103191473878) with: {'batch_size': 512, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.794789740447811 (0.019243303025277658) with: {'batch_size': 512, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.794265901748914 (0.018491870352448963) with: {'batch_size': 512, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.7977352379156991 (0.01714286750053949) with: {'batch_size': 512, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.8472180401196219 (0.02897349752593199) with: {'batch_size': 512, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
0.866466311342662 (0.007103534767068571) with: {'batch_size': 512, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.8617507990505651 (0.023873910640291818) with: {'batch_size': 512, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
0.5413284804757457 (0.08241317166004648) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.5751092321402559 (0.03617801523150755) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.5372703532960299 (0.12510841595925215) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.6282726583319767 (0.06726233004527744) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.6271491889529653 (0.03264470262205352) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.6352019262902632 (0.014633222476021238) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.7365956589917825 (0.024830298586502098) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
0.7595084232354479 (0.022544988767628966) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.748640949949015 (0.02154618252887452) with: {'batch_size': 512, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
0.8019886290605907 (0.02585355327138474) with: {'batch_size': 1024, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.8069639077642865 (0.01694923194098107) with: {'batch_size': 1024, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.815407687166348 (0.017735108735610357) with: {'batch_size': 1024, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.8481381693387375 (0.008380938129013278) with: {'batch_size': 1024, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.8504946615710234 (0.006305914598112817) with: {'batch_size': 1024, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.8516075697723242 (0.007979661993077399) with: {'batch_size': 1024, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.8480062724398248 (0.005270920465647805) with: {'batch_size': 1024, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
0.8573018226064901 (0.006818154020872096) with: {'batch_size': 1024, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.851673914533723 (0.017526569445768844) with: {'batch_size': 1024, 'lr': 0.1, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
0.8068338103358155 (0.008822730216958915) with: {'batch_size': 1024, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.7991092835536969 (0.029154024788542943) with: {'batch_size': 1024, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.8069643147873625 (0.012919516753922028) with: {'batch_size': 1024, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.8170459978920489 (0.006562952033628992) with: {'batch_size': 1024, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.8176346389491093 (0.007722548140589628) with: {'batch_size': 1024, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.8216280280374633 (0.009975696581659511) with: {'batch_size': 1024, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.8350459721853284 (0.014345183265923768) with: {'batch_size': 1024, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
0.8446685118379449 (0.006094590309781871) with: {'batch_size': 1024, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.8534393449927593 (0.003869847065982427) with: {'batch_size': 1024, 'lr': 0.02, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
0.5256847841920806 (0.10433399173242688) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.01}
0.5403599797773799 (0.0966714016255597) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.001}
0.46605564648117837 (0.0869903894883784) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.0, 'optimizer__weight_decay': 0.0001}
0.5691527279115004 (0.11410295767040617) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.01}
0.5243915647680825 (0.08279169890995956) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.001}
0.6068599455017523 (0.03497452787552164) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.6, 'optimizer__weight_decay': 0.0001}
0.7274320485685641 (0.033132620897773246) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.01}
0.693844590020651 (0.06238423512202318) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}
0.6872395909203863 (0.04461564348030429) with: {'batch_size': 1024, 'lr': 0.0001, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.0001}
